,cv-folds,dataset,estimator,omics,train_accuracy,test_accuracy,fss_nogueira,avg_features,all_features,runs
0,5,BLCA,LR_f10,__ALL__,0.7728947462409371,0.7346889952153111,0.5816960606429836,12.0,100451,15
1,5,BLCA,LR_f25,__ALL__,0.8239522840101432,0.7625541125541125,0.5431333075498993,20.6,100451,15
2,5,BLCA,LR_f100,__ALL__,0.9744798028501018,0.821075415812258,0.46422758476071413,92.73333333333333,100451,15
3,5,BLCA,SVM_f10,__ALL__,0.7742033644058717,0.7355661881977672,0.5830236147049767,12.266666666666667,100451,15
4,5,BLCA,SVM_f25,__ALL__,0.8342047930283224,0.7730462519936204,0.5243403505040576,24.533333333333335,100451,15
5,5,BLCA,SVM_f100,__ALL__,0.9609536054859102,0.8184894053315106,0.4696326378749942,94.86666666666666,100451,15
6,5,BLCA,LR_f10,mutation,0.6878217079181399,0.6239576213260424,0.45548963733132,8.066666666666666,18576,15
7,5,BLCA,LR_f25,mutation,0.7626508089574627,0.6196058327637275,0.4266559539567465,24.933333333333334,18576,15
8,5,BLCA,LR_f100,mutation,0.9363055823422265,0.6353725222146275,0.39450148321305567,108.2,18576,15
9,5,BLCA,SVM_f10,mutation,0.6856366298796386,0.6239576213260424,0.4619550887628254,7.933333333333334,18576,15
10,5,BLCA,SVM_f25,mutation,0.76286867388121,0.6248689906584644,0.4225557800617845,25.533333333333335,18576,15
11,5,BLCA,SVM_f100,mutation,0.9301939354976964,0.6396901344269765,0.3927506503122259,110.93333333333334,18576,15
12,5,BLCA,LR_f10,cnv,0.7037544198007072,0.65892002734108,0.49252620594285357,9.666666666666666,57964,15
13,5,BLCA,LR_f25,cnv,0.7543669416764884,0.6685691501480975,0.4592944127275089,27.666666666666668,57964,15
14,5,BLCA,LR_f100,cnv,0.896162005785921,0.6972317156527683,0.3949926603996492,98.0,57964,15
15,5,BLCA,SVM_f10,cnv,0.7037551341119326,0.6624174071542492,0.4684440435760149,9.533333333333333,57964,15
16,5,BLCA,SVM_f25,cnv,0.7506646665952356,0.6624629756208703,0.4377881118634104,23.2,57964,15
17,5,BLCA,SVM_f100,cnv,0.9029258187792422,0.6937229437229437,0.4077914353290646,101.8,57964,15
18,5,BLCA,LR_f10,mirna,0.6675374120504304,0.6246981089086352,0.5977484643093183,9.8,825,15
19,5,BLCA,LR_f25,mirna,0.7729097467766706,0.685930735930736,0.5709574229186196,26.133333333333333,825,15
20,5,BLCA,LR_f100,mirna,0.9397907068109576,0.6937571200729096,0.4648652028536312,104.66666666666667,825,15
21,5,BLCA,SVM_f10,mirna,0.6705918068502447,0.6273069036226931,0.616530511626362,10.133333333333333,825,15
22,5,BLCA,SVM_f25,mirna,0.7711653987642416,0.6868193210298473,0.5729831494184312,26.666666666666668,825,15
23,5,BLCA,SVM_f100,mirna,0.9297553484053002,0.6911369332421964,0.47270899361154683,105.13333333333334,825,15
24,5,BLCA,LR_f10,rna,0.7739854994821244,0.7355661881977672,0.5865521466403352,11.8,23081,15
25,5,BLCA,LR_f25,rna,0.8291917568484589,0.7687058555479609,0.5417391356556099,23.133333333333333,23081,15
26,5,BLCA,LR_f100,rna,0.9744790885388764,0.8158236500341763,0.4682497869263931,94.0,23081,15
27,5,BLCA,SVM_f10,rna,0.7722382942247937,0.7346776030986557,0.5870041255122951,11.466666666666667,23081,15
28,5,BLCA,SVM_f25,rna,0.8331133254759099,0.7695944406470723,0.5417465834806783,24.133333333333333,23081,15
29,5,BLCA,SVM_f100,rna,0.9629179613557627,0.8158236500341763,0.47125262861671324,97.13333333333334,23081,15
30,5,BRCA,LR_f10,__ALL__,0.8448979591836735,0.8385487528344672,0.8209575331896979,10.533333333333333,99475,15
31,5,BRCA,LR_f25,__ALL__,0.8798185941043084,0.8585034013605443,0.6085102259464401,28.933333333333334,99475,15
32,5,BRCA,LR_f100,__ALL__,0.9301587301587302,0.8757369614512471,0.46749640374112666,111.33333333333333,99475,15
33,5,BRCA,SVM_f10,__ALL__,0.8441043083900227,0.8385487528344672,0.8071656130896492,10.866666666666667,99475,15
34,5,BRCA,SVM_f25,__ALL__,0.8766439909297052,0.8594104308390023,0.628037254980861,26.2,99475,15
35,5,BRCA,SVM_f100,__ALL__,0.927437641723356,0.8798185941043084,0.4550840019467294,101.33333333333333,99475,15
36,5,BRCA,LR_f10,mutation,0.719954648526077,0.6979591836734694,0.6460181171713566,13.866666666666667,17974,15
37,5,BRCA,LR_f25,mutation,0.7494331065759637,0.6997732426303855,0.565613467227359,25.666666666666668,17974,15
38,5,BRCA,LR_f100,mutation,0.8591836734693877,0.7020408163265306,0.4635609854980225,104.46666666666667,17974,15
39,5,BRCA,SVM_f10,mutation,0.7140589569160998,0.6925170068027211,0.6576278314043472,13.0,17974,15
40,5,BRCA,SVM_f25,mutation,0.7433106575963719,0.6943310657596372,0.5811900218352127,24.866666666666667,17974,15
41,5,BRCA,SVM_f100,mutation,0.8556689342403628,0.7015873015873015,0.46219281111363597,108.73333333333333,17974,15
42,5,BRCA,LR_f10,cnv,0.6795918367346938,0.6675736961451247,0.5344792228613583,10.333333333333334,57964,15
43,5,BRCA,LR_f25,cnv,0.7354875283446712,0.7151927437641723,0.5072267915550865,16.8,57964,15
44,5,BRCA,LR_f100,cnv,0.8761904761904762,0.8244897959183674,0.37867210167378373,98.66666666666667,57964,15
45,5,BRCA,SVM_f10,cnv,0.6772108843537415,0.6662131519274376,0.5283939634734568,9.533333333333333,57964,15
46,5,BRCA,SVM_f25,cnv,0.7748299319727892,0.7396825396825397,0.4952957726284999,21.066666666666666,57964,15
47,5,BRCA,SVM_f100,cnv,0.8924036281179138,0.8317460317460318,0.340211895329395,88.2,57964,15
48,5,BRCA,LR_f10,mirna,0.8131519274376418,0.8090702947845805,0.8631912300319624,10.933333333333334,835,15
49,5,BRCA,LR_f25,mirna,0.8435374149659864,0.8290249433106576,0.6867348868899241,29.4,835,15
50,5,BRCA,LR_f100,mirna,0.8928571428571429,0.8253968253968254,0.4861720945479411,98.2,835,15
51,5,BRCA,SVM_f10,mirna,0.8134920634920635,0.8108843537414966,0.8491434120176635,11.133333333333333,835,15
52,5,BRCA,SVM_f25,mirna,0.8420634920634921,0.8294784580498866,0.7021590484817868,29.466666666666665,835,15
