cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,avg_features,all_features,runs
5,BLCA,SVM_f25,"LinearSVC(C=0.004249560546875, dual=False, max_iter=100000, penalty='l1')",rna,0.8331133254759099,0.7695944406470723,0.5417465834806783,24.133333333333333,23081,15
5,BLCA,SVM_f100,"LinearSVC(C=0.011572314453125, dual=False, max_iter=100000, penalty='l1')",rna,0.9629179613557627,0.8158236500341763,0.47125262861671324,97.13333333333334,23081,15
5,BRCA,LR_f10,"LogisticRegression(C=0.0059582031249999995, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,0.8433106575963719,0.8394557823129252,0.828211950711005,11.2,99475,15
5,BRCA,LR_f25,"LogisticRegression(C=0.013383694887161252, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,0.8781179138321995,0.8594104308390023,0.6089179795450954,26.6,99475,15
5,BRCA,LR_f100,"LogisticRegression(C=0.040375146484375, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,0.93140589569161,0.8775510204081632,0.46385952011502796,110.93333333333334,99475,15
5,BRCA,SVM_f10,"LinearSVC(C=0.0015645507812499999, dual=False, max_iter=100000, penalty='l1')",__ALL__,0.8441043083900227,0.8385487528344672,0.8071656130896492,10.866666666666667,99475,15
5,BRCA,SVM_f25,"LinearSVC(C=0.003273193359375, dual=False, max_iter=100000, penalty='l1')",__ALL__,0.8766439909297052,0.8594104308390023,0.628037254980861,26.2,99475,15
5,BRCA,SVM_f100,"LinearSVC(C=0.00937548828125, dual=False, max_iter=100000, penalty='l1')",__ALL__,0.927437641723356,0.8798185941043084,0.45459572720504415,101.4,99475,15
5,BRCA,LR_f10,"LogisticRegression(C=0.19146796875, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.719954648526077,0.6979591836734694,0.6460181171713566,13.866666666666667,17974,15
5,BRCA,LR_f25,"LogisticRegression(C=0.25395546874999997, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.7494331065759637,0.6997732426303855,0.565613467227359,25.666666666666668,17974,15
5,BRCA,LR_f100,"LogisticRegression(C=0.46485078125, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.8604308390022676,0.7029478458049887,0.46253403694645334,105.93333333333334,17974,15
5,BRCA,SVM_f10,"LinearSVC(C=0.047087670898437496, dual=False, max_iter=100000, penalty='l1')",mutation,0.7140589569160998,0.6925170068027211,0.6576278314043472,13.0,17974,15
5,BRCA,SVM_f25,"LinearSVC(C=0.06258749999999999, dual=False, max_iter=100000, penalty='l1')",mutation,0.7433106575963719,0.6943310657596372,0.5811900218352127,24.866666666666667,17974,15
5,BRCA,SVM_f100,"LinearSVC(C=0.11555541992187499, dual=False, max_iter=100000, penalty='l1')",mutation,0.8556689342403628,0.7015873015873015,0.46219281111363597,108.73333333333333,17974,15
5,BRCA,LR_f10,"LogisticRegression(C=0.03378466796874999, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.6727891156462585,0.6630385487528344,0.5121663472364513,9.333333333333334,57964,15
5,BRCA,LR_f25,"LogisticRegression(C=0.04183969726562499, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.7388888888888889,0.7165532879818595,0.49551781634533976,17.6,57964,15
5,BRCA,LR_f100,"LogisticRegression(C=0.1172488067626953, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.8759637188208617,0.8267573696145125,0.36970263857111807,97.86666666666666,57964,15
5,BRCA,SVM_f10,"LinearSVC(C=0.008725340975448491, dual=False, max_iter=100000, penalty='l1')",cnv,0.6773242630385488,0.6662131519274376,0.5403839474529452,9.533333333333333,57964,15
5,BRCA,SVM_f25,"LinearSVC(C=0.013280957031249999, dual=False, max_iter=100000, penalty='l1')",cnv,0.7888888888888889,0.7537414965986394,0.4693753933761289,25.066666666666666,57964,15
