cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,fss_lustgarten,fss_jaccard_index,avg_features,all_features,runs,estimator_alt_name
5,LIHC,Lasso_f70,"MyLasso(C=0.99658203125, max_iter=2000)",mutation,1.0,0.7023521505376344,0.3332920475818034,0.3483837149681004,0.2035319021337785,69.53333333333333,11820,15,Lasso_high
5,LIHC,SVM_f9,"LinearSVC(C=0.0059582031249999995, dual=False, max_iter=200000, penalty='l1')",rna,0.7683562992125984,0.7422715053763441,0.4085470473360426,0.5016033801374511,0.2668079912190829,8.666666666666666,20994,15,SVM_low
5,LIHC,SVM_f38,"LinearSVC(C=0.01523369140625, dual=False, max_iter=200000, penalty='l1')",rna,0.9460260826771654,0.8178763440860215,0.3602646268074883,0.388405800281375,0.2228731191864091,37.86666666666667,20994,15,SVM_mid
5,LIHC,SVM_f70,"LinearSVC(C=0.078209375, dual=False, max_iter=200000, penalty='l1')",rna,1.0,0.7987903225806452,0.3062195747848139,0.318204368565756,0.1835501968167645,76.86666666666666,20994,15,SVM_high
5,LIHC,LR_f9,"LogisticRegression(C=0.02014603881835937, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,0.7510621719160105,0.7381048387096775,0.4386343150313478,0.4989514026516435,0.2915429576729886,8.333333333333334,20994,15,LR_low
5,LIHC,LR_f38,"LogisticRegression(C=0.051359277343749996, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,0.9177247375328084,0.7863575268817204,0.3891533490957716,0.4123333974029795,0.2452339333022567,37.266666666666666,20994,15,LR_mid
5,LIHC,LR_f70,"LogisticRegression(C=0.125075, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,0.992659120734908,0.8009408602150537,0.3783050851992533,0.4189911636901557,0.2362059940777371,78.46666666666667,20994,15,LR_high
5,LIHC,Lasso_f9,"MyLasso(C=0.6640625, max_iter=2000)",rna,0.7657357283464566,0.740255376344086,0.4027864801760924,0.4927744726546425,0.2624056282209658,8.2,20994,15,Lasso_low
5,LIHC,Lasso_f38,"MyLasso(C=0.8828125, max_iter=2000)",rna,0.9507463910761156,0.8136424731182795,0.3604017057025507,0.3816039498627309,0.2218086031193654,43.6,20994,15,Lasso_mid
5,LIHC,Lasso_f70,"MyLasso(C=0.9453125, max_iter=2000)",rna,0.9989501312335958,0.8241935483870968,0.3214794179515992,0.3345310103215957,0.1943508723903887,79.73333333333333,20994,15,Lasso_high
5,LUAD,SVM_f24,"LinearSVC(C=0.004249560546875, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.8640434707607383,0.8262562699498404,0.5445641080241685,0.5839650410864742,0.3779467856009844,23.133333333333333,100840,15,SVM_low
5,LUAD,SVM_f102,"LinearSVC(C=0.013980784183740616, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.956770743488011,0.8066940264477884,0.3771820088737569,0.391498487899001,0.2340100436073554,115.2,100840,15,SVM_mid
5,LUAD,SVM_f188,"LinearSVC(C=0.06258749999999999, dual=False, max_iter=200000, penalty='l1')",__ALL__,1.0,0.7675421796625627,0.3298029743796872,0.3346953124263637,0.1989427183220328,197.6,100840,15,SVM_high
5,LUAD,LR_f24,"LogisticRegression(C=0.017674609374999997, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.8654125697199702,0.8262471500227998,0.5429884033865784,0.5794050438193991,0.3764790078350798,23.866666666666667,100840,15,LR_low
5,LUAD,LR_f102,"LogisticRegression(C=0.068445703125, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.975941578977632,0.8019972640218878,0.3781725707243961,0.3911796568449647,0.2347044575405291,117.33333333333331,100840,15,LR_mid
5,LUAD,LR_f188,"LogisticRegression(C=0.24973154279803272, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,1.0,0.7871591427268582,0.3840535896669421,0.397767656919753,0.2390613291882247,195.2,100840,15,LR_high
5,LUAD,Lasso_f24,"MyLasso(C=0.8359375, max_iter=2000)",__ALL__,0.8677626358461273,0.8199726402188783,0.5129933226209583,0.5410626798828336,0.3473655878060838,26.133333333333333,100840,15,Lasso_low
5,LUAD,Lasso_f102,"MyLasso(C=0.9423828125, max_iter=2000)",__ALL__,0.9444448277844862,0.807469220246238,0.3859000151038412,0.3972189485085998,0.2408825948216596,116.2,100840,15,Lasso_mid
5,LUAD,Lasso_f188,"MyLasso(C=0.96826171875, max_iter=2000)",__ALL__,0.9955022712897476,0.7910533515731875,0.3604331665123942,0.3665227069260787,0.2212974653940116,196.3333333333333,100840,15,Lasso_high
5,LUAD,SVM_f24,"LinearSVC(C=0.028414648437499995, dual=False, max_iter=200000, penalty='l1')",cnv,0.7848260594560404,0.6818057455540356,0.3084211824805556,0.3513145484008965,0.1864264787620053,26.066666666666663,57964,15,SVM_low
5,LUAD,SVM_f102,"LinearSVC(C=0.07821223545074463, dual=False, max_iter=200000, penalty='l1')",cnv,0.8830211028693002,0.6941541267669858,0.3080669820397342,0.3223145333381152,0.183362480684948,102.6,57964,15,SVM_mid
5,LUAD,SVM_f188,"LinearSVC(C=0.15857776167387494, dual=False, max_iter=200000, penalty='l1')",cnv,0.9778954631706056,0.6832102143182854,0.3556646401566231,0.3665907135969141,0.2187777478048125,199.53333333333333,57964,15,SVM_high
5,LUAD,LR_f24,"LogisticRegression(C=0.11140585937499999, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.781892358116267,0.6779206566347469,0.322270220350449,0.3589203821878335,0.1946199897531393,28.4,57964,15,LR_low
5,LUAD,LR_f102,"LogisticRegression(C=0.2861755859375, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.87284917486056,0.6996443228454172,0.3108604885463405,0.3225355948633818,0.1855319180548837,105.0,57964,15,LR_mid
5,LUAD,LR_f188,"LogisticRegression(C=0.4921890625, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.9528560749813122,0.6918011855905153,0.3218750068912512,0.3361671792912176,0.1938711138188855,179.0,57964,15,LR_high
5,LUAD,Lasso_f24,"MyLasso(C=0.9765625, max_iter=2000)",cnv,0.787175550572135,0.687952576379389,0.3407363316866779,0.3692702820058937,0.2069904330957601,32.666666666666664,57964,15,Lasso_low
5,LUAD,Lasso_f102,"MyLasso(C=0.990234375, max_iter=2000)",cnv,0.8749985624748433,0.6941814865481076,0.3178006261412484,0.3357163943735314,0.1906355638009199,98.26666666666668,57964,15,Lasso_mid
5,LUAD,Lasso_f188,"MyLasso(C=0.99462890625, max_iter=2000)",cnv,0.9598941981484675,0.6824441404468764,0.3367330419987037,0.3439192414320232,0.2047161190555868,184.8,57964,15,Lasso_high
5,LUAD,SVM_f24,"LinearSVC(C=0.010840039062500001, dual=False, max_iter=200000, penalty='l1')",mirna,0.8059456040480708,0.7605563155494756,0.7144463471021533,0.7412402229783299,0.5702205935143909,24.53333333333333,799,15,SVM_low
5,LUAD,SVM_f102,"LinearSVC(C=0.05087109375, dual=False, max_iter=200000, penalty='l1')",mirna,0.921363348858605,0.7402097583219335,0.4508166942335221,0.4109999395722144,0.3520445699792224,100.4,799,15,SVM_mid
5,LUAD,SVM_f188,"LinearSVC(C=0.349639453125, dual=False, max_iter=200000, penalty='l1')",mirna,1.0,0.7089101687186502,0.3447515334608571,0.273280459728312,0.3286669901800096,182.3333333333333,799,15,SVM_high
5,LUAD,LR_f24,"LogisticRegression(C=0.045012890624999996, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,0.8065321143120004,0.765234838121295,0.7116428750540678,0.7281301133379741,0.5657082535034655,24.53333333333333,799,15,LR_low
5,LUAD,LR_f102,"LogisticRegression(C=0.21880624999999998, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,0.9330981542176988,0.7362973096215231,0.4483716470096257,0.4098683978601053,0.3495579003080926,99.46666666666668,799,15,LR_mid
5,LUAD,LR_f188,"LogisticRegression(C=4.871419906616211, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,1.0,0.710515275877793,0.3588153548084128,0.288577358480204,0.3361831882661455,179.66666666666666,799,15,LR_high
